云商通订单号|订单类型|交易金额(单位:分)|手续费金额(单位:分)|交易时间|商户订单编号|渠道金额|渠道流水号|渠道手续费(单位:分)|云商通手续费(单位:分)|分期金额(单位:分)|持卡人手续费(单位:分)|扩展参数|预付卡是否结算|预付卡交易金额(单位:分)|支付方式|原商户订单号|原云商通订单号|渠道交易类型|卡号|卡类别|渠道交易商户号|渠道配置商户号|
1413528563381968896|消费|49540|0|2021-07-10 00:00:51|21071046445253520|49540|122104500001049327|198|0|0|0|||||||微信支付|o2mUlw****Dqt8|-|||
1413558748579901440|平台转账|16593996|0|2021-07-10 02:00:43|d6053405-890c-42e7-a5b1-9df36b55d8f1|0||0|0|0|0||||||||||||
1413558750182121472|平台转账|3083255|0|2021-07-10 02:00:43|3a5574d6-3639-4687-9f07-616e91bb5033|0||0|0|0|0||||||||||||
1413558751738204160|平台转账|10141368|0|2021-07-10 02:00:43|72595187-e167-4d16-bd13-71f13b788b0f|0||0|0|0|0||||||||||||
1413558753373995008|平台转账|4559577|0|2021-07-10 02:00:44|108c0955-6cd3-4c50-be2c-59a710ca3e28|0||0|0|0|0||||||||||||
1413558754858778624|平台转账|11214509|0|2021-07-10 02:00:44|d9d56aa6-6d1f-48d1-95c1-5f9315c3947f|0||0|0|0|0||||||||||||
1413558756440031232|平台转账|5848317|0|2021-07-10 02:00:44|14895d60-2e85-4fc3-9b49-75583f04faab|0||0|0|0|0||||||||||||
1413558758361010176|平台转账|14186701|0|2021-07-10 02:00:45|3806bd61-64eb-450c-89e4-f43c62be52e5|0||0|0|0|0||||||||||||
1413558759761915904|平台转账|19291226|0|2021-07-10 02:00:45|141dcb25-5193-467f-b260-4714ac28c492|0||0|0|0|0||||||||||||
1413558761338970112|平台转账|6159580|0|2021-07-10 02:00:46|c70a2e84-bc76-4cbf-b13b-72cca5c6fe8f|0||0|0|0|0||||||||||||
1413558762857312256|平台转账|1801863|0|2021-07-10 02:00:46|5e9aa2ea-dea8-46be-8c1e-37d6493b8da4|0||0|0|0|0||||||||||||
1413558764597944320|平台转账|52389|0|2021-07-10 02:00:46|7aa2068a-3e59-42d7-a81f-706650da289e|0||0|0|0|0||||||||||||
1413558766120476672|平台转账|102090|0|2021-07-10 02:00:47|304d0111-0a86-4b69-9d75-67c6c9d20d62|0||0|0|0|0||||||||||||
1413558767722696704|平台转账|10783913|0|2021-07-10 02:00:47|beab51cb-db61-457e-84df-bbd6d559b70d|0||0|0|0|0||||||||||||
1413558769228451840|平台转账|35258|0|2021-07-10 02:00:47|8ab73ad7-d2a3-491c-ab64-c4416a1bfbf4|0||0|0|0|0||||||||||||
1413558770608381952|平台转账|127627|0|2021-07-10 02:00:48|fec25a52-af4b-41fe-ae9e-fa6cb67c76c2|0||0|0|0|0||||||||||||
1413558771950563328|平台转账|8223491|0|2021-07-10 02:00:48|7b13fbfb-9c06-4065-8079-f51cb4b60ba4|0||0|0|0|0||||||||||||
1413558773309517824|平台转账|5420395|0|2021-07-10 02:00:48|3eb36c8a-8943-443c-aee6-a721a7beff00|0||0|0|0|0||||||||||||
1413593747576332288|消费|53940|0|2021-07-10 04:19:56|21071061987259691|53940|122104500001049332|216|0|0|0|||||||微信支付|o2mUlw****t0TA|-|||
1413603593553977344|消费|61900|0|2021-07-10 04:59:02|21071064334259224|61900|122104500001049333|248|0|0|0|||||||微信支付|o2mUlw****DbUo|-|||
1413617401710260224|消费|45600|0|2021-07-10 05:54:15|21071067626258566|45600|122104500001049334|182|0|0|0|||||||微信支付|o2mUlw****iK58|-|||
1413622438142414848|消费|10500|0|2021-07-10 06:13:58|21071068827259440|10500|122104500001049335|42|0|0|0|||||||微信支付|o2mUlw****Gido|-|||
1413635451410980864|消费|127000|0|2021-07-10 07:05:42|21071071930253658|127000|122104500001049337|508|0|0|0|||||||微信支付|o2mUlw****HTWU|信用卡|||
1413636199020507136|消费|18200|0|2021-07-10 07:08:37|21071072108259084|18200|122104500001049338|73|0|0|0|||||||微信支付|o2mUlw****XpBg|-|||
1413637172711403520|消费|28000|0|2021-07-10 07:12:29|21071072340254618|28000|122104500001049339|112|0|0|0|||||||微信支付|o2mUlw****UBfY|-|||
1413639072664010752|消费|53940|0|2021-07-10 07:20:04|21071072793254777|53940|122104500001049340|216|0|0|0|||||||微信支付|o2mUlw****H0lg|-|||
1413639669886750720|消费|243200|0|2021-07-10 07:22:26|21071072935257891|243200|122104500001049341|973|0|0|0|||||||微信支付|o2mUlw****70Qc|-|||
1413640396218576896|消费|53940|0|2021-07-10 07:25:18|21071073109257605|53940|122104500001049342|216|0|0|0|||||||微信支付|o2mUlw****a5_c|-|||
1413641154691342336|消费|10700|0|2021-07-10 07:28:17|21071073289255880|10700|122104500001049343|43|0|0|0|||||||微信支付|o2mUlw****TAKY|-|||
1413641663779192832|消费|53940|0|2021-07-10 07:30:17|21071073411252035|53940|122104500001049344|216|0|0|0|||||||微信支付|o2mUlw****pKf8|信用卡|||
1413643128547581952|消费|35000|0|2021-07-10 07:36:07|21071073760259273|35000|122104500001049345|140|0|0|0|||||||微信支付|o2mUlw****TzTM|-|||
1413643567104008192|消费|53940|0|2021-07-10 07:37:50|21071073865254801|53940|122104500001049346|216|0|0|0|||||||微信支付|o2mUlw****o7Ls|-|||
1413645918573445120|消费|24900|0|2021-07-10 07:47:16|21071074425251751|24900|122104500001049348|100|0|0|0|||||||微信支付|o2mUlw****oJNU|-|||
1413646160941289472|消费|53940|0|2021-07-10 07:48:10|21071074483251499|53940|122104500001049349|216|0|0|0|||||||微信支付|o2mUlw****cWso|信用卡|||
1413646578287124480|消费|107200|0|2021-07-10 07:49:56|21071074582256746|107200|122104500001049350|429|0|0|0|||||||微信支付|o2mUlw****XyvU|信用卡|||
1413647100536688640|消费|15400|0|2021-07-10 07:51:54|21071074707251326|15400|122104500001049351|62|0|0|0|||||||微信支付|o2mUlw****59ks|信用卡|||
1413647205151019008|消费|36450|0|2021-07-10 07:52:18|21071074732259962|36450|122104500001049352|146|0|0|0|||||||微信支付|o2mUlw****vQsE|-|||
