云商通订单号|订单类型|交易金额(单位:分)|手续费金额(单位:分)|交易时间|商户订单编号|渠道金额|渠道流水号|渠道手续费(单位:分)|云商通手续费(单位:分)|分期金额(单位:分)|持卡人手续费(单位:分)|扩展参数|预付卡是否结算|预付卡交易金额(单位:分)|支付方式|原商户订单号|原云商通订单号|渠道交易类型|卡号|卡类别|渠道交易商户号|渠道配置商户号|
1411356955049476096|消费|196000|0|2021-07-04 00:12:16|21070428694252048|196000|122104500001038552|784|0|0|0|||||||微信支付|o2mUlw****A89o|信用卡|||
1411361378567995392|消费|25750|0|2021-07-04 00:29:17|21070429748256202|25750|122104500001038553|103|0|0|0|||||||微信支付|o2mUlw****L2lc|-|||
1411367086726328320|消费|21075|0|2021-07-04 00:51:56|21070431109259610|21075|122104500001038554|84|0|0|0|||||||微信支付|o2mUlw****WO1I|-|||
1411384417045188608|平台转账|7572176|0|2021-07-04 02:00:42|4cf914f0-2a0c-468b-a30d-a24e61a1b256|0||0|0|0|0||||||||||||
1411384418748084224|平台转账|2444113|0|2021-07-04 02:00:42|a4e2d8b7-a333-492d-8eed-260b8e295a6c|0||0|0|0|0||||||||||||
1411384420765540352|平台转账|8174507|0|2021-07-04 02:00:42|619880fd-c4f7-4885-82f7-08c3af5f5ad7|0||0|0|0|0||||||||||||
1411384422380351488|平台转账|3089801|0|2021-07-04 02:00:43|9afca0e8-c336-409e-b23b-ec3aff4fe405|0||0|0|0|0||||||||||||
1411384423865139200|平台转账|6270977|0|2021-07-04 02:00:43|85f43218-5167-4a9e-824f-27728d9a1a5f|0||0|0|0|0||||||||||||
1411384425924542464|平台转账|3717957|0|2021-07-04 02:00:44|a49265b2-65c3-4d58-afd4-6acd21031923|0||0|0|0|0||||||||||||
1411384427707121664|平台转账|14754077|0|2021-07-04 02:00:44|81de4bb8-4184-42f6-9c2d-be89dc567efe|0||0|0|0|0||||||||||||
1411384429246423040|平台转账|6790687|0|2021-07-04 02:00:44|928a7a52-ef15-4513-8924-47ec3b18a470|0||0|0|0|0||||||||||||
1411384430559248384|平台转账|2642486|0|2021-07-04 02:00:45|2170105e-1eb6-4698-acf4-2efbddaacced|0||0|0|0|0||||||||||||
1411384432132104192|平台转账|29339|0|2021-07-04 02:00:45|512353c3-5bfe-48d3-8b77-908f46fc15bb|0||0|0|0|0||||||||||||
