云商通订单号|订单类型|交易金额(单位:分)|手续费金额(单位:分)|交易时间|商户订单编号|渠道金额|渠道流水号|渠道手续费(单位:分)|云商通手续费(单位:分)|分期金额(单位:分)|持卡人手续费(单位:分)|扩展参数|预付卡是否结算|预付卡交易金额(单位:分)|支付方式|原商户订单号|原云商通订单号|渠道交易类型|卡号|卡类别|渠道交易商户号|渠道配置商户号|
1413903152935084032|消费|30800|0|2021-07-11 00:49:21|21071135755251472|30800|122104500001050732|123|0|0|0|||||||微信支付|o2mUlw****czws|-|||
1413909978850275328|消费|53800|0|2021-07-11 01:16:50|21071137382253589|53800|122104500001050733|215|0|0|0|||||||微信支付|o2mUlw****Bs5A|-|||
1413912888472510464|消费|103000|0|2021-07-11 01:28:02|21071138076255012|103000|122104500001050734|412|0|0|0|||||||微信支付|o2mUlw****w8GI|-|||
1413916275112939520|消费|161820|0|2021-07-11 01:41:29|21071138883259432|161820|122104500001050735|647|0|0|0|||||||微信支付|o2mUlw****d8ZY|-|||
1413921135698911232|平台转账|15509214|0|2021-07-11 02:00:42|c5c3ca03-5b5a-4a2c-9e5d-ff684785059e|0||0|0|0|0||||||||||||
1413921137393405952|平台转账|2841115|0|2021-07-11 02:00:43|7284b4bb-d729-4962-ab9d-0da54b7cce90|0||0|0|0|0||||||||||||
1413921139238899712|平台转账|3845356|0|2021-07-11 02:00:43|c1511f1d-01ca-4667-918f-b09a589fdf82|0||0|0|0|0||||||||||||
1413921141050839040|平台转账|2737402|0|2021-07-11 02:00:44|766c6a5b-6a4b-4e34-ad12-df8c324298fa|0||0|0|0|0||||||||||||
1413921143034757120|平台转账|5566795|0|2021-07-11 02:00:44|c77f3596-f656-4854-a755-ebd319af14b3|0||0|0|0|0||||||||||||
1413921144876056576|平台转账|4758760|0|2021-07-11 02:00:45|295490c4-8849-4a3b-a71a-bded07cbc63d|0||0|0|0|0||||||||||||
1413921146826399744|平台转账|9586901|0|2021-07-11 02:00:45|bd4efbaa-4596-49b7-89b4-e494febe97b6|0||0|0|0|0||||||||||||
1413921148726423552|平台转账|7639933|0|2021-07-11 02:00:45|56a4e391-ae22-487f-a983-5057832cc252|0||0|0|0|0||||||||||||
1413921150601281536|平台转账|1705820|0|2021-07-11 02:00:46|021fef62-ec05-4a40-8679-e51aefc3a93e|0||0|0|0|0||||||||||||
1413921152958472192|平台转账|56156|0|2021-07-11 02:00:47|713cacd7-ae1b-49b5-84d7-d33d3d608920|0||0|0|0|0||||||||||||
1413921155181457408|平台转账|3238516|0|2021-07-11 02:00:47|70c10682-ad93-4698-9a39-a8842ac12146|0||0|0|0|0||||||||||||
1413921156880150528|平台转账|1127134|0|2021-07-11 02:00:47|1af82897-5d83-47ff-b6e7-e796c225f059|0||0|0|0|0||||||||||||
1413921158411075584|平台转账|5060132|0|2021-07-11 02:00:48|5c79a4c3-470f-4ba9-ac02-92909491098b|0||0|0|0|0||||||||||||
1413921160583712768|平台转账|42330|0|2021-07-11 02:00:48|14b98024-93fe-4e10-81c5-03756fc97c59|0||0|0|0|0||||||||||||
1413921162106245120|平台转账|151113|0|2021-07-11 02:00:49|dd7e2e35-7c3b-4f66-85f3-0b3e75e5c3d0|0||0|0|0|0||||||||||||
1413921163947552768|平台转账|5124645|0|2021-07-11 02:00:49|2907a68d-d51f-4127-b27c-14a6d6e5e83a|0||0|0|0|0||||||||||||
1413921165612687360|平台转账|8605797|0|2021-07-11 02:00:50|f07cc3fc-2292-4309-8a19-3c47d5b1cdc4|0||0|0|0|0||||||||||||
1413932859730698240|消费|18800|0|2021-07-11 02:47:25|21071142837253250|18800|122104500001050736|75|0|0|0|||||||微信支付|o2mUlw****ZECw|-|||
1413972355834716160|消费|129000|0|2021-07-11 05:24:21|21071152254256343|129000|122104500001050737|516|0|0|0|||||||微信支付|o2mUlw****goPo|-|||
1413989655275126784|消费|53940|0|2021-07-11 06:33:05|21071156378257091|53940|122104500001050740|216|0|0|0|||||||微信支付|o2mUlw****jYUU|-|||
1413994191163232256|消费|15400|0|2021-07-11 06:51:15|21071157460250335|15400|122104500001050742|62|0|0|0|||||||微信支付|o2mUlw****hZes|-|||
1413994245273960448|消费|129000|0|2021-07-11 06:51:20|21071157473259324|129000|122104500001050743|516|0|0|0|||||||微信支付|o2mUlw****UAio|-|||
1413996236326846464|消费|49540|0|2021-07-11 06:59:15|21071157948250940|49540|122104500001050745|198|0|0|0|||||||微信支付|o2mUlw****1068|-|||
1413997983422222336|消费|8220|0|2021-07-11 07:06:11|21071158364256203|8220|122104500001050749|33|0|0|0|||||||微信支付|o2mUlw****BnLY|信用卡|||
1413998303489568768|消费|51940|0|2021-07-11 07:07:25|21071158440259297|51940|122104500001050750|208|0|0|0|||||||微信支付|o2mUlw****VPyo|-|||
1413998594792374272|消费|24000|0|2021-07-11 07:08:53|21071158510252248|24000|122104500001050751|96|0|0|0|||||||微信支付|o2mUlw****BEe4|信用卡|||
1413998961760407552|消费|58000|0|2021-07-11 07:10:06|21071158597257059|58000|122104500001050752|232|0|0|0|||||||微信支付|o2mUlw****g3g4|信用卡|||
1413999057893859328|消费|11700|0|2021-07-11 07:10:37|21071158620256511|11700|1413999057893859328D1|30|0|0|0|||||||代收|||||
1414000684755329024|消费|196000|0|2021-07-11 07:16:56|21071159008255591|196000|122104500001050753|784|0|0|0|||||||微信支付|o2mUlw****8G4E|-|||
1414001329742823424|消费|129000|0|2021-07-11 07:19:29|21071159162255503|129000|122104500001050754|516|0|0|0|||||||微信支付|o2mUlw****_6Ag|-|||
1414001849790369792|消费|70100|0|2021-07-11 07:21:37|21071159286256292|70100|122104500001050755|280|0|0|0|||||||微信支付|o2mUlw****pfCQ|-|||
1414001875111383040|消费|21540|0|2021-07-11 07:21:40|21071159292259993|21540|122104500001050756|86|0|0|0|||||||微信支付|o2mUlw****nt5o|-|||
1414003324868370432|消费|13300|0|2021-07-11 07:27:33|21071159638250965|13300|122104500001050761|53|0|0|0|||||||微信支付|o2mUlw****I058|-|||
1414003361534980096|消费|36450|0|2021-07-11 07:27:38|21071159646250792|36450|122104500001050762|146|0|0|0|||||||微信支付|o2mUlw****Xf6Q|-|||
1414003429130379264|消费|53940|0|2021-07-11 07:27:48|21071159662254561|53940|122104500001050763|216|0|0|0|||||||微信支付|o2mUlw****f_JU|-|||
1414004033709944832|消费|53940|0|2021-07-11 07:30:18|21071159806251009|53940|122104500001050764|216|0|0|0|||||||微信支付|o2mUlw****ouwI|-|||
1414005470997254144|消费|107880|0|2021-07-11 07:35:57|21071160149256313|107880|122104500001050765|432|0|0|0|||||||微信支付|o2mUlw****fsqc|-|||
1414006403294572544|消费|53940|0|2021-07-11 07:39:41|21071160371254795|53940|122104500001050766|216|0|0|0|||||||微信支付|o2mUlw****c59M|信用卡|||
1414007561371258880|消费|45600|0|2021-07-11 07:44:12|21071160648259202|45600|122104500001050767|182|0|0|0|||||||微信支付|o2mUlw****5UTc|-|||
1414008705917140992|消费|27600|0|2021-07-11 07:48:48|21071160920250108|27600|122104500001050768|110|0|0|0|||||||微信支付|o2mUlw****4qgA|-|||
1414008941704126464|消费|30800|0|2021-07-11 07:49:42|21071160977254515|30800|122104500001050769|123|0|0|0|||||||微信支付|o2mUlw****jgK4|-|||
1414008947991392256|消费|35000|0|2021-07-11 07:49:46|21071160978253491|35000|122104500001050770|140|0|0|0|||||||微信支付|o2mUlw****L7dg|-|||
1414009132431716352|消费|35000|0|2021-07-11 07:50:30|21071161022259708|35000|122104500001050772|140|0|0|0|||||||微信支付|o2mUlw****XRlY|-|||
1414009457066643456|消费|53940|0|2021-07-11 07:51:52|21071161100252709|53940|122104500001050773|216|0|0|0|||||||微信支付|o2mUlw****hitw|-|||
1414009685270343680|消费|107880|0|2021-07-11 07:52:42|21071161154253077|107880|122104500001050774|432|0|0|0|||||||微信支付|o2mUlw****suXE|-|||
1414009745341165568|消费|184900|0|2021-07-11 07:52:58|21071161168252033|184900|122104500001050775|740|0|0|0|||||||微信支付|o2mUlw****i-rk|-|||
1414009806804500480|消费|53940|0|2021-07-11 07:53:10|21071161183255626|53940|122104500001050776|216|0|0|0|||||||微信支付|o2mUlw****G1TE|-|||
1414010574454407168|消费|98000|0|2021-07-11 07:56:13|21071161366256955|98000|122104500001050777|392|0|0|0|||||||微信支付|o2mUlw****icAI|-|||
1414011280720674816|消费|61800|0|2021-07-11 07:59:11|21071161534258636|61800|1414011280720674816D1|185|0|0|0|||||||代收|||||
1414011388283596800|消费|21540|0|2021-07-11 07:59:26|21071161560251482|21540|122104500001050778|86|0|0|0|||||||微信支付|o2mUlw****LaJk|-|||
1414011569536249856|消费|161820|0|2021-07-11 08:00:10|21071161603250568|161820|122104500001050779|647|0|0|0|||||||微信支付|o2mUlw****vNVM|-|||
1414012108722413568|消费|93200|0|2021-07-11 08:02:19|21071161732256902|93200|122104500001050780|373|0|0|0|||||||微信支付|o2mUlw****jvl8|信用卡|||
1414012401384169472|消费|107880|0|2021-07-11 08:03:30|21071161802251790|107880|122104500001050781|432|0|0|0|||||||微信支付|o2mUlw****cYWA|-|||
1414012685351137280|消费|11968|0|2021-07-11 08:04:39|21071161869256532|11968|122104500001050782|48|0|0|0|||||||微信支付|o2mUlw****wHvo|-|||
1414013145789239296|消费|23280|0|2021-07-11 08:06:26|21071161979250921|23280|122104500001050784|93|0|0|0|||||||微信支付|o2mUlw****XOQg|-|||
