云商通订单号|订单类型|交易金额(单位:分)|手续费金额(单位:分)|交易时间|商户订单编号|渠道金额|渠道流水号|渠道手续费(单位:分)|云商通手续费(单位:分)|分期金额(单位:分)|持卡人手续费(单位:分)|扩展参数|预付卡是否结算|预付卡交易金额(单位:分)|支付方式|原商户订单号|原云商通订单号|渠道交易类型|卡号|卡类别|渠道交易商户号|渠道配置商户号|
1417517252420313088|消费|49540|0|2021-07-21 00:10:37|21072197423262057|49540|122104500001068792|198|0|0|0|||||||微信支付|o2mUlw****AsQI|-|||
1417517344787279872|消费|49540|0|2021-07-21 00:10:50|21072197445265841|49540|122104500001068793|198|0|0|0|||||||微信支付|o2mUlw****AsQI|-|||
1417517393575419904|消费|49540|0|2021-07-21 00:11:03|21072197457263860|49540|122104500001068794|198|0|0|0|||||||微信支付|o2mUlw****AsQI|-|||
1417517476505194496|消费|49540|0|2021-07-21 00:11:23|21072197477260453|49540|122104500001068795|198|0|0|0|||||||微信支付|o2mUlw****AsQI|-|||
1417517538559926272|消费|49540|0|2021-07-21 00:11:38|21072197491264057|49540|122104500001068796|198|0|0|0|||||||微信支付|o2mUlw****AsQI|-|||
1417517601805840384|消费|49540|0|2021-07-21 00:11:52|21072197507263400|49540|122104500001068797|198|0|0|0|||||||微信支付|o2mUlw****AsQI|-|||
1417517648303894528|消费|49540|0|2021-07-21 00:12:03|21072197518269700|49540|122104500001068798|198|0|0|0|||||||微信支付|o2mUlw****AsQI|-|||
1417517697284976640|消费|49540|0|2021-07-21 00:12:16|21072197529267459|49540|122104500001068799|198|0|0|0|||||||微信支付|o2mUlw****AsQI|-|||
1417517747310436352|消费|49540|0|2021-07-21 00:12:27|21072197541266263|49540|122104500001068800|198|0|0|0|||||||微信支付|o2mUlw****AsQI|-|||
1417517797595947008|消费|49540|0|2021-07-21 00:12:39|21072197553262131|49540|122104500001068801|198|0|0|0|||||||微信支付|o2mUlw****AsQI|-|||
1417517845998223360|消费|49540|0|2021-07-21 00:12:50|21072197565268551|49540|122104500001068802|198|0|0|0|||||||微信支付|o2mUlw****AsQI|-|||
1417517899609817088|消费|49540|0|2021-07-21 00:13:03|21072197577264512|49540|122104500001068803|198|0|0|0|||||||微信支付|o2mUlw****AsQI|-|||
1417517943473848320|消费|49540|0|2021-07-21 00:13:13|21072197588262079|49540|122104500001068804|198|0|0|0|||||||微信支付|o2mUlw****AsQI|-|||
1417518024432295936|消费|49540|0|2021-07-21 00:13:33|21072197607262578|49540|122104500001068805|198|0|0|0|||||||微信支付|o2mUlw****AsQI|-|||
1417518068984197120|消费|49540|0|2021-07-21 00:13:43|21072197618267553|49540|122104500001068806|198|0|0|0|||||||微信支付|o2mUlw****AsQI|-|||
1417518113997467648|消费|49540|0|2021-07-21 00:13:54|21072197629262323|49540|122104500001068807|198|0|0|0|||||||微信支付|o2mUlw****AsQI|-|||
1417518157672747008|消费|49540|0|2021-07-21 00:14:06|21072197639269319|49540|122104500001068808|198|0|0|0|||||||微信支付|o2mUlw****AsQI|-|||
1417518214295863296|消费|49540|0|2021-07-21 00:14:18|21072197652265537|49540|122104500001068809|198|0|0|0|||||||微信支付|o2mUlw****AsQI|-|||
1417518259304935424|消费|49540|0|2021-07-21 00:14:29|21072197663264686|49540|122104500001068810|198|0|0|0|||||||微信支付|o2mUlw****AsQI|-|||
1417518416834605056|消费|49540|0|2021-07-21 00:15:07|21072197701264781|49540|122104500001068811|198|0|0|0|||||||微信支付|o2mUlw****AsQI|-|||
1417518503727996928|消费|49540|0|2021-07-21 00:15:27|21072197721260929|49540|122104500001068812|198|0|0|0|||||||微信支付|o2mUlw****AsQI|-|||
1417518566000828416|消费|49540|0|2021-07-21 00:15:48|21072197736265474|49540|122104500001068813|198|0|0|0|||||||微信支付|o2mUlw****AsQI|信用卡|||
1417518680475963392|消费|49540|0|2021-07-21 00:16:09|21072197764264115|49540|122104500001068814|198|0|0|0|||||||微信支付|o2mUlw****AsQI|信用卡|||
1417518738709688320|消费|49540|0|2021-07-21 00:16:23|21072197778260644|49540|122104500001068815|198|0|0|0|||||||微信支付|o2mUlw****AsQI|信用卡|||
1417518806317678592|消费|49540|0|2021-07-21 00:16:41|21072197794260135|49540|122104500001068816|198|0|0|0|||||||微信支付|o2mUlw****AsQI|信用卡|||
1417518948634607616|消费|49540|0|2021-07-21 00:17:14|21072197828263477|49540|122104500001068817|198|0|0|0|||||||微信支付|o2mUlw****AsQI|信用卡|||
1417525575072878592|消费|49540|0|2021-07-21 00:43:34|21072199407267176|49540|122104500001068818|198|0|0|0|||||||微信支付|o2mUlw****JiVs|-|||
1417525635487633408|消费|49540|0|2021-07-21 00:43:47|21072199422261155|49540|122104500001068819|198|0|0|0|||||||微信支付|o2mUlw****JiVs|-|||
1417525686754619392|消费|49540|0|2021-07-21 00:43:59|21072199434268549|49540|122104500001068820|198|0|0|0|||||||微信支付|o2mUlw****JiVs|-|||
1417525752496140288|消费|49540|0|2021-07-21 00:44:15|21072199450268036|49540|122104500001068821|198|0|0|0|||||||微信支付|o2mUlw****JiVs|-|||
1417525809844850688|消费|49540|0|2021-07-21 00:44:29|21072199463265356|49540|122104500001068822|198|0|0|0|||||||微信支付|o2mUlw****JiVs|-|||
1417525869475278848|消费|49540|0|2021-07-21 00:44:43|21072199478268412|49540|122104500001068823|198|0|0|0|||||||微信支付|o2mUlw****JiVs|-|||
1417525967231918080|消费|49540|0|2021-07-21 00:45:06|21072199501267400|49540|122104500001068824|198|0|0|0|||||||微信支付|o2mUlw****JiVs|-|||
1417526123528462336|消费|49540|0|2021-07-21 00:45:44|21072199538269918|49540|122104500001068825|198|0|0|0|||||||微信支付|o2mUlw****JiVs|-|||
1417526128423219200|消费|49540|0|2021-07-21 00:45:45|21072199539269684|49540|122104500001068826|198|0|0|0|||||||微信支付|o2mUlw****AsQI|信用卡|||
1417526175013539840|消费|49540|0|2021-07-21 00:45:56|21072199550263114|49540|122104500001068827|198|0|0|0|||||||微信支付|o2mUlw****AsQI|信用卡|||
1417526223172546560|消费|49540|0|2021-07-21 00:46:08|21072199562260208|49540|122104500001068828|198|0|0|0|||||||微信支付|o2mUlw****JiVs|-|||
1417526224867041280|消费|49540|0|2021-07-21 00:46:09|21072199562267033|49540|122104500001068829|198|0|0|0|||||||微信支付|o2mUlw****AsQI|信用卡|||
1417526272044568576|消费|49540|0|2021-07-21 00:46:19|21072199574261780|49540|122104500001068830|198|0|0|0|||||||微信支付|o2mUlw****AsQI|信用卡|||
