云商通订单号|订单类型|交易金额(单位:分)|手续费金额(单位:分)|交易时间|商户订单编号|渠道金额|渠道流水号|渠道手续费(单位:分)|云商通手续费(单位:分)|分期金额(单位:分)|持卡人手续费(单位:分)|扩展参数|预付卡是否结算|预付卡交易金额(单位:分)|支付方式|原商户订单号|原云商通订单号|渠道交易类型|卡号|卡类别|渠道交易商户号|渠道配置商户号|
1414978412237299712|消费|49540|0|2021-07-14 00:02:07|21071492116261725|49540|122104500001056067|198|0|0|0|||||||微信支付|o2mUlw****Dqt8|-|||
1414978478343725056|消费|49540|0|2021-07-14 00:02:18|21071492132262579|49540|122104500001056068|198|0|0|0|||||||微信支付|o2mUlw****Dqt8|-|||
1414978527857487872|消费|49540|0|2021-07-14 00:02:30|21071492144265215|49540|122104500001056069|198|0|0|0|||||||微信支付|o2mUlw****Dqt8|-|||
1414978575429279744|消费|49540|0|2021-07-14 00:02:41|21071492155260328|49540|122104500001056070|198|0|0|0|||||||微信支付|o2mUlw****Dqt8|-|||
1414978631192555520|消费|49540|0|2021-07-14 00:02:55|21071492169268370|49540|122104500001056071|198|0|0|0|||||||微信支付|o2mUlw****Dqt8|-|||
1414978682061078528|消费|49540|0|2021-07-14 00:03:07|21071492181268448|49540|122104500001056072|198|0|0|0|||||||微信支付|o2mUlw****Dqt8|-|||
1414978731423834112|消费|49540|0|2021-07-14 00:03:18|21071492193260314|49540|122104500001056073|198|0|0|0|||||||微信支付|o2mUlw****Dqt8|-|||
1414978779079516160|消费|49540|0|2021-07-14 00:03:30|21071492204260055|49540|122104500001056074|198|0|0|0|||||||微信支付|o2mUlw****Dqt8|-|||
1414978882615918592|消费|49540|0|2021-07-14 00:03:54|21071492229261191|49540|122104500001056075|198|0|0|0|||||||微信支付|o2mUlw****Dqt8|-|||
1414978934012915712|消费|49540|0|2021-07-14 00:04:07|21071492241263393|49540|122104500001056076|198|0|0|0|||||||微信支付|o2mUlw****Dqt8|-|||
1414978980850704384|消费|49540|0|2021-07-14 00:04:18|21071492252262963|49540|122104500001056077|198|0|0|0|||||||微信支付|o2mUlw****Dqt8|-|||
1414979026073698304|消费|49540|0|2021-07-14 00:04:28|21071492263264052|49540|122104500001056078|198|0|0|0|||||||微信支付|o2mUlw****Dqt8|-|||
1414979088283611136|消费|49540|0|2021-07-14 00:04:43|21071492278268651|49540|122104500001056079|198|0|0|0|||||||微信支付|o2mUlw****Dqt8|-|||
1414979133905051648|消费|49540|0|2021-07-14 00:04:54|21071492289261407|49540|122104500001056080|198|0|0|0|||||||微信支付|o2mUlw****Dqt8|-|||
1414979184945541120|消费|49540|0|2021-07-14 00:05:08|21071492301267079|49540|122104500001056081|198|0|0|0|||||||微信支付|o2mUlw****Dqt8|-|||
1414979234748702720|消费|49540|0|2021-07-14 00:05:18|21071492312262873|49540|122104500001056082|198|0|0|0|||||||微信支付|o2mUlw****Dqt8|-|||
1414979312330752000|消费|49540|0|2021-07-14 00:05:37|21071492331262097|49540|122104500001056084|198|0|0|0|||||||微信支付|o2mUlw****Dqt8|-|||
1414979244039090176|消费|52500|0|2021-07-14 00:05:40|21071492315261972|52500|122104500001056083|210|0|0|0|||||||微信支付|o2mUlw****0pHo|信用卡|||
1414979356257689600|消费|49540|0|2021-07-14 00:05:47|21071492342265768|49540|122104500001056085|198|0|0|0|||||||微信支付|o2mUlw****Dqt8|-|||
1414979401090609152|消费|49540|0|2021-07-14 00:05:58|21071492352267133|49540|122104500001056086|198|0|0|0|||||||微信支付|o2mUlw****Dqt8|-|||
