云商通订单号|订单类型|交易金额(单位:分)|手续费金额(单位:分)|交易时间|商户订单编号|渠道金额|渠道流水号|渠道手续费(单位:分)|云商通手续费(单位:分)|分期金额(单位:分)|持卡人手续费(单位:分)|扩展参数|预付卡是否结算|预付卡交易金额(单位:分)|支付方式|原商户订单号|原云商通订单号|渠道交易类型|卡号|卡类别|渠道交易商户号|渠道配置商户号|
1418992733372026880|消费|27600|0|2021-07-25 01:53:35|21072549205274185|27600|210725120400219606|110|0|0|0|||||||微信支付|o2mUlw****Ytyc|信用卡|||
1418994637061758976|平台转账|10897964|0|2021-07-25 02:00:59|e95c36f4-2d38-413f-b1a0-17c50e8e6d88|0||0|0|0|0||||||||||||
1418994638584287232|平台转账|3633069|0|2021-07-25 02:01:00|32238998-04ea-408c-b130-8e38e3b82bfc|0||0|0|0|0||||||||||||
1418994640077471744|平台转账|7502104|0|2021-07-25 02:01:00|8828214d-8f7e-43c9-a35f-592c59514bf3|0||0|0|0|0||||||||||||
1418994641675497472|平台转账|3480676|0|2021-07-25 02:01:00|61dab907-3db0-4514-bb53-67da9ca74d9f|0||0|0|0|0||||||||||||
1418994643214802944|平台转账|10066103|0|2021-07-25 02:01:01|b64ada9c-c12d-4977-9b6f-2cca83389a59|0||0|0|0|0||||||||||||
1418994645156773888|平台转账|4224264|0|2021-07-25 02:01:01|74091159-c15f-44f4-a1df-b8e2b74baced|0||0|0|0|0||||||||||||
1418994647308443648|平台转账|6901124|0|2021-07-25 02:01:02|a90aeb56-569d-4fd6-afde-7fb11e243bbe|0||0|0|0|0||||||||||||
1418994649271377920|平台转账|8141811|0|2021-07-25 02:01:02|70df116c-a530-4112-9b7c-d79d950167c9|0||0|0|0|0||||||||||||
1418994650764554240|平台转账|4123370|0|2021-07-25 02:01:03|f6055343-872d-4768-b5c8-5758a6747556|0||0|0|0|0||||||||||||
1418994652228362240|平台转账|2502251|0|2021-07-25 02:01:03|7638f154-8f6a-4c68-82ec-89d6301fd50e|0||0|0|0|0||||||||||||
1418994654233247744|平台转账|8286899|0|2021-07-25 02:01:04|0cf978b7-e11c-4156-931a-705e8654b8e3|0||0|0|0|0||||||||||||
1418994656137449472|平台转账|80775|0|2021-07-25 02:01:04|df15abe1-5fc1-4002-ab61-bbd1a4adb233|0||0|0|0|0||||||||||||
1418994657773236224|平台转账|113145|0|2021-07-25 02:01:04|df843486-37ee-4e99-93d8-2eb5a8c7994f|0||0|0|0|0||||||||||||
1418994659375452160|平台转账|7820349|0|2021-07-25 02:01:05|a2082003-3385-4617-8533-f146f341bdaa|0||0|0|0|0||||||||||||
1419001926539808768|消费|129000|0|2021-07-25 02:30:05|21072551397276863|129000|210725126500219101|516|0|0|0|||||||微信支付|o2mUlw****_KLw|-|||
1419058787389554688|消费|61800|0|2021-07-25 06:16:30|21072564953277129|61800|210725126100220696|247|0|0|0|||||||微信支付|o2mUlw****pMu0|-|||
1419059638623543296|消费|20600|0|2021-07-25 06:19:25|21072565157278119|20600|210725127400221018|82|0|0|0|||||||微信支付|o2mUlw****pMu0|-|||
1419063069673267200|消费|70000|0|2021-07-25 06:33:05|21072565975278600|70000|210725127000221084|280|0|0|0|||||||微信支付|o2mUlw****U42Q|信用卡|||
1419069436530278400|消费|10580|0|2021-07-25 06:58:21|21072567493274609|10580|210725123300222252|42|0|0|0|||||||微信支付|o2mUlw****q9y4|-|||
1419071250617077760|消费|98000|0|2021-07-25 07:05:34|21072567925277731|98000|210725126300222122|392|0|0|0|||||||微信支付|o2mUlw****pmxc|-|||
1419072409226452992|消费|98000|0|2021-07-25 07:10:10|21072568201273841|98000|210725122800222108|392|0|0|0|||||||微信支付|o2mUlw****JfV4|-|||
1419073565721899008|消费|53940|0|2021-07-25 07:14:46|21072568477276335|53940|210725123200222168|216|0|0|0|||||||微信支付|o2mUlw****ANAM|-|||
1419073614606503936|消费|15400|0|2021-07-25 07:14:56|21072568489271775|15400|210725120500222176|62|0|0|0|||||||微信支付|o2mUlw****BaeY|-|||
1419073845066739712|消费|107880|0|2021-07-25 07:15:50|21072568544275181|107880|210725125200222318|432|0|0|0|||||||微信支付|o2mUlw****gfgE|-|||
