云商通订单号|订单类型|交易金额(单位:分)|手续费金额(单位:分)|交易时间|商户订单编号|渠道金额|渠道流水号|渠道手续费(单位:分)|云商通手续费(单位:分)|分期金额(单位:分)|持卡人手续费(单位:分)|扩展参数|预付卡是否结算|预付卡交易金额(单位:分)|支付方式|原商户订单号|原云商通订单号|渠道交易类型|卡号|卡类别|渠道交易商户号|渠道配置商户号|
1415706958828158976|消费|53940|0|2021-07-16 00:17:05|21071665816264095|53940|122104500001060053|216|0|0|0|||||||微信支付|o2mUlw****eZkM|-|||
1415722394080788480|消费|18800|0|2021-07-16 01:18:22|21071669496267311|18800|122104500001060055|75|0|0|0|||||||微信支付|o2mUlw****0xTQ|-|||
1415733074175467520|平台转账|21762148|0|2021-07-16 02:00:42|ebb70b3f-68d3-404d-bfcc-5711add1e748|0||0|0|0|0||||||||||||
1415733076385865728|平台转账|7246982|0|2021-07-16 02:00:43|564494b7-8a46-483f-aae6-9796c35fcad3|0||0|0|0|0||||||||||||
1415733078030028800|平台转账|7746113|0|2021-07-16 02:00:43|1ed1debf-90ef-49b6-95ca-157174d183c8|0||0|0|0|0||||||||||||
1415733079288328192|平台转账|4644956|0|2021-07-16 02:00:43|bdb37743-52c5-4f1c-9b86-440cebe65cf4|0||0|0|0|0||||||||||||
1415733080475316224|平台转账|14956627|0|2021-07-16 02:00:44|b60d8b80-50a7-4a62-b63c-575cd741f752|0||0|0|0|0||||||||||||
1415733081578422272|平台转账|6720423|0|2021-07-16 02:00:44|1e8a6d14-cd25-4042-91a0-7a5aa38d0d8e|0||0|0|0|0||||||||||||
1415733082878656512|平台转账|7265612|0|2021-07-16 02:00:44|c99e120b-c093-4b51-be45-09107e415c6d|0||0|0|0|0||||||||||||
1415733084564766720|平台转账|8988778|0|2021-07-16 02:00:45|33d677ce-ef43-45cf-a9b0-ae4ce907f6db|0||0|0|0|0||||||||||||
1415733086175379456|平台转账|8715738|0|2021-07-16 02:00:45|380077e5-4724-475a-9969-c501876f8458|0||0|0|0|0||||||||||||
1415733088255746048|平台转账|117746|0|2021-07-16 02:00:46|6119110d-b765-4d8b-8858-bfa19b450364|0||0|0|0|0||||||||||||
1415733090298376192|平台转账|3157732|0|2021-07-16 02:00:46|1b853821-5273-429b-a8f5-adfec1cea228|0||0|0|0|0||||||||||||
1415733092332609536|平台转账|205076|0|2021-07-16 02:00:47|aa81955f-7112-4d91-97fe-da1da1372b97|0||0|0|0|0||||||||||||
