云商通订单号|订单类型|交易金额(单位:分)|手续费金额(单位:分)|交易时间|商户订单编号|渠道金额|渠道流水号|渠道手续费(单位:分)|云商通手续费(单位:分)|分期金额(单位:分)|持卡人手续费(单位:分)|扩展参数|预付卡是否结算|预付卡交易金额(单位:分)|支付方式|原商户订单号|原云商通订单号|渠道交易类型|卡号|卡类别|渠道交易商户号|渠道配置商户号|
1413173477938044928|消费|70100|0|2021-07-09 00:30:25|21070961787258602|70100|122104500001047552|280|0|0|0|||||||微信支付|o2mUlw****DKJ0|-|||
1413196358520684544|平台转账|13206968|0|2021-07-09 02:00:42|c9c1b351-325b-4be4-99a6-be73bb69ff6e|0||0|0|0|0||||||||||||
1413196360059994112|平台转账|7050318|0|2021-07-09 02:00:42|6c3d1a6a-801d-4f74-95b3-a174102ff6f1|0||0|0|0|0||||||||||||
1413196361414742016|平台转账|9900131|0|2021-07-09 02:00:43|5e9a5bcf-90e5-4068-bd5e-c0fb13036ba0|0||0|0|0|0||||||||||||
1413196363205722112|平台转账|4826356|0|2021-07-09 02:00:43|dca28549-0ed6-4548-a3da-ce36bb03a5b1|0||0|0|0|0||||||||||||
1413196364761804800|平台转账|11585516|0|2021-07-09 02:00:44|5f8cf0fc-e03c-400f-b699-20aa3fbf89ff|0||0|0|0|0||||||||||||
1413196366414360576|平台转账|17844662|0|2021-07-09 02:00:44|817f17c2-8148-4302-8d07-0f3f93188801|0||0|0|0|0||||||||||||
1413196367819444224|平台转账|9407290|0|2021-07-09 02:00:44|fa4e6882-8d3c-45cb-bc4a-7e9f59e7db6a|0||0|0|0|0||||||||||||
1413196369379737600|平台转账|4129039|0|2021-07-09 02:00:45|ecc9fbd3-8df0-4280-bd8f-999a4be9d70b|0||0|0|0|0||||||||||||
1413196371195867136|平台转账|3586|0|2021-07-09 02:00:45|a2feeeaf-c0ce-4500-9ed3-8a8bef48d69a|0||0|0|0|0||||||||||||
1413196372529655808|平台转账|1518977|0|2021-07-09 02:00:45|0a70b990-7015-442e-8434-045834a302cf|0||0|0|0|0||||||||||||
1413196374022823936|平台转账|24790|0|2021-07-09 02:00:46|a5bb5fef-a6c0-40e2-ad95-83198118e46b|0||0|0|0|0||||||||||||
1413196376036089856|平台转账|52787|0|2021-07-09 02:00:46|9dca726f-501b-4d2a-82ce-13af80daf16c|0||0|0|0|0||||||||||||
1413196378275848192|平台转账|10216886|0|2021-07-09 02:00:47|e152b584-c39a-4cc1-a22c-0953947043d3|0||0|0|0|0||||||||||||
1413196380138119168|平台转账|34763|0|2021-07-09 02:00:47|b11acf36-099f-48fb-ae9f-ff0e86030a4d|0||0|0|0|0||||||||||||
1413196381870374912|平台转账|21115|0|2021-07-09 02:00:48|197aa6d9-9d83-4f12-94b2-beee2748c9f1|0||0|0|0|0||||||||||||
1413196383548084224|平台转账|165036|0|2021-07-09 02:00:48|9619ea50-1602-40e3-a66d-1498e2c0c70c|0||0|0|0|0||||||||||||
