云商通订单号|订单类型|交易金额(单位:分)|手续费金额(单位:分)|交易时间|商户订单编号|渠道金额|渠道流水号|渠道手续费(单位:分)|云商通手续费(单位:分)|分期金额(单位:分)|持卡人手续费(单位:分)|扩展参数|预付卡是否结算|预付卡交易金额(单位:分)|支付方式|原商户订单号|原云商通订单号|渠道交易类型|卡号|卡类别|渠道交易商户号|渠道配置商户号|
1421146735564034048|消费|328192|0|2021-07-31 00:32:45|21073162759273352|328192|210731124200643786|1313|0|0|0|||||||微信支付|o2mUlw****wujQ|-|||
1421153583331549184|消费|53940|0|2021-07-31 01:00:02|21073164392274438|53940|210731123400644489|216|0|0|0|||||||微信支付|o2mUlw****qZoI|-|||
1421161924720082944|消费|98000|0|2021-07-31 01:33:16|21073166381277375|98000|210731125100643747|392|0|0|0|||||||微信支付|o2mUlw****Uydo|-|||
1421168958924398592|平台转账|16746802|0|2021-07-31 02:00:58|431de557-a532-4ed8-a62c-c237ea0594ab|0||0|0|0|0||||||||||||
1421168960874754048|平台转账|5054702|0|2021-07-31 02:00:59|6022816c-5b6d-4c9f-a46f-ff09e2f74ff4|0||0|0|0|0||||||||||||
1421168962778972160|平台转账|6010498|0|2021-07-31 02:00:59|014ab720-1b12-483a-b52c-09e4fb690866|0||0|0|0|0||||||||||||
1421168964347637760|平台转账|5461297|0|2021-07-31 02:00:59|b2ff2023-eb9a-4101-adbd-a1b60d912756|0||0|0|0|0||||||||||||
1421168966583201792|平台转账|11225948|0|2021-07-31 02:01:00|a731d546-600b-4f57-a5d5-bc1583925ae0|0||0|0|0|0||||||||||||
1421168968369975296|平台转账|6765880|0|2021-07-31 02:01:00|e5c88cca-d6e5-4436-b321-d2a6fc9c6306|0||0|0|0|0||||||||||||
1421168969842180096|平台转账|12666984|0|2021-07-31 02:01:01|6961e15e-c37a-4dcd-87a0-f199bdb0105d|0||0|0|0|0||||||||||||
1421168971771547648|平台转账|20306849|0|2021-07-31 02:01:01|2c32aff3-ce55-4359-b8ec-c3fadaa4c198|0||0|0|0|0||||||||||||
1421168974015508480|平台转账|4557690|0|2021-07-31 02:01:02|dc960771-93c3-4d12-af19-85bc7f70ca80|0||0|0|0|0||||||||||||
1421168975575789568|平台转账|178184|0|2021-07-31 02:01:02|67bca8b4-463b-423b-9b2e-753424ed6b8e|0||0|0|0|0||||||||||||
1421168977375141888|平台转账|8498157|0|2021-07-31 02:01:03|b225ef3b-1f48-4d26-a947-61dbc86ea6b3|0||0|0|0|0||||||||||||
1421168979249991680|平台转账|16234|0|2021-07-31 02:01:03|f0e20c6e-24b3-447f-856e-55141238712f|0||0|0|0|0||||||||||||
1421168980969668608|平台转账|11841426|0|2021-07-31 02:01:03|3ae4acf7-dcff-4a70-9f2f-18f19c59ffd7|0||0|0|0|0||||||||||||
1421168982886465536|平台转账|95516|0|2021-07-31 02:01:04|0374bcff-ef83-4052-9826-721fbdbe5015|0||0|0|0|0||||||||||||
1421168985033936896|平台转账|2919199|0|2021-07-31 02:01:04|50e7c25d-b229-440f-918c-d171dd3a52c4|0||0|0|0|0||||||||||||
1421168986871042048|平台转账|12093260|0|2021-07-31 02:01:05|7b3af9b5-76d7-4491-ae8c-52465f70036e|0||0|0|0|0||||||||||||
