云商通订单号|订单类型|交易金额(单位:分)|手续费金额(单位:分)|交易时间|商户订单编号|渠道金额|渠道流水号|渠道手续费(单位:分)|云商通手续费(单位:分)|分期金额(单位:分)|持卡人手续费(单位:分)|扩展参数|预付卡是否结算|预付卡交易金额(单位:分)|支付方式|原商户订单号|原云商通订单号|渠道交易类型|卡号|卡类别|渠道交易商户号|渠道配置商户号|
1410267786801852416|消费|33500|0|2021-07-01 00:03:41|21070169016254316|33500|122104500001033890|134|0|0|0|||||||微信支付|o2mUlw****kj28|-|||
1410267959418429440|消费|98000|0|2021-07-01 00:04:28|21070169057253020|98000|122104500001033891|392|0|0|0|||||||微信支付|o2mUlw****alNk|-|||
1410270002887540736|消费|14800|0|2021-07-01 00:12:31|21070169544259816|14800|122104500001033892|59|0|0|0|||||||微信支付|o2mUlw****z3sc|-|||
1410274365009838080|消费|107880|0|2021-07-01 00:29:51|21070170584258675|107880|122104500001033895|432|0|0|0|||||||微信支付|o2mUlw****52Hs|-|||
1410283208100028416|消费|21732|0|2021-07-01 01:05:00|21070172693258033|21732|122104500001033896|87|0|0|0|||||||微信支付|o2mUlw****gbxM|-|||
1410286646342983680|消费|368000|0|2021-07-01 01:18:40|21070173512254490|368000|122104500001033897|1472|0|0|0|||||||微信支付|o2mUlw****Do_c|-|||
1410297254543110144|平台转账|13012816|0|2021-07-01 02:00:42|309ea82a-323d-4988-bb70-47aabb456c5b|0||0|0|0|0||||||||||||
1410297255990136832|平台转账|3880553|0|2021-07-01 02:00:42|57812c17-70c6-4125-9c11-f6940c6cbe9e|0||0|0|0|0||||||||||||
1410297257525256192|平台转账|8682810|0|2021-07-01 02:00:42|a754de46-84ad-49c4-8b74-8c49aef523aa|0||0|0|0|0||||||||||||
1410297259102314496|平台转账|12318348|0|2021-07-01 02:00:43|1bc76a17-8635-4e38-b61c-500b77c5272d|0||0|0|0|0||||||||||||
1410297260457082880|平台转账|12220418|0|2021-07-01 02:00:43|cd6f6445-f146-4815-a1ae-4c246a711881|0||0|0|0|0||||||||||||
1410297261916692480|平台转账|16263717|0|2021-07-01 02:00:44|383f0548-546b-425b-a0a2-06e7c0aa1351|0||0|0|0|0||||||||||||
1410297263267254272|平台转账|20118953|0|2021-07-01 02:00:44|d389d26f-9ae3-469b-8bef-c0f9178f51f3|0||0|0|0|0||||||||||||
1410297264806576128|平台转账|17290623|0|2021-07-01 02:00:44|efa707a1-6e49-4910-91ac-75f039cbb1fa|0||0|0|0|0||||||||||||
1410297266559787008|平台转账|4699518|0|2021-07-01 02:00:45|9f1bf9fa-de18-4c91-b35b-3ae56385a77a|0||0|0|0|0||||||||||||
1410297268317204480|平台转账|146486|0|2021-07-01 02:00:45|325450c9-e608-48e2-811b-af31045b30f3|0||0|0|0|0||||||||||||
1410297270162698240|平台转账|633652|0|2021-07-01 02:00:45|d12b5274-47c8-47dd-8cb1-0b42a1d5c179|0||0|0|0|0||||||||||||
1410297271739760640|平台转账|567620|0|2021-07-01 02:00:46|89280890-3e12-4ba9-add7-5f275724921e|0||0|0|0|0||||||||||||
1410297273518137344|平台转账|47708|0|2021-07-01 02:00:46|0ea5ffa4-9e94-4a04-96db-e54f2b029af1|0||0|0|0|0||||||||||||
1410297275019694080|平台转账|2867902|0|2021-07-01 02:00:47|a75064eb-1670-42e6-9f55-b2269aabb4ae|0||0|0|0|0||||||||||||
1410297276454150144|平台转账|142727|0|2021-07-01 02:00:47|9b6b4503-cbd5-4fe0-8cfa-50d0f17b41d3|0||0|0|0|0||||||||||||
1410297277976690688|平台转账|1523672|0|2021-07-01 02:00:47|42a861cd-0f0b-47c4-8d26-ccca093bb5ad|0||0|0|0|0||||||||||||
1410297279423725568|平台转账|62748|0|2021-07-01 02:00:48|d4631dfc-c19d-4273-9172-a4760a6c49e2|0||0|0|0|0||||||||||||
1410297280845590528|平台转账|1148472|0|2021-07-01 02:00:48|a84acd2b-8d3c-4776-80a0-605eb132cd6d|0||0|0|0|0||||||||||||
1410297282514919424|平台转账|226260|0|2021-07-01 02:00:48|31944bdd-e57d-4c7f-b0db-d6a0ffd249f3|0||0|0|0|0||||||||||||
1410297284100374528|平台转账|142958|0|2021-07-01 02:00:49|44019150-0627-42c7-884d-b119590b9fda|0||0|0|0|0||||||||||||
1410297285807456256|平台转账|318022|0|2021-07-01 02:00:49|1ad9ea0a-2a42-4b2a-b1f5-d1dfb69e0028|0||0|0|0|0||||||||||||
1410297287363534848|平台转账|95247|0|2021-07-01 02:00:50|fc5c62c6-de5b-4eb4-b190-87f2436ccb65|0||0|0|0|0||||||||||||
1410297289083207680|平台转账|245842|0|2021-07-01 02:00:50|27f7da73-c21a-4365-97ec-199530e86f40|0||0|0|0|0||||||||||||
1410297290609922048|平台转账|1145009|0|2021-07-01 02:00:50|48fb61fe-4f42-4a72-9d1e-a5109a3ace20|0||0|0|0|0||||||||||||
1410297291864027136|平台转账|4186520|0|2021-07-01 02:00:51|7036b27d-e60f-4bda-a2d3-6d726c3b97f5|0||0|0|0|0||||||||||||
1410297293252333568|平台转账|18851374|0|2021-07-01 02:00:51|5803e8c4-bf72-416a-b134-e054aad77609|0||0|0|0|0||||||||||||
1410297294992969728|平台转账|103324|0|2021-07-01 02:00:52|529d5445-3d56-4dd5-b469-28532d096743|0||0|0|0|0||||||||||||
1410297298432299008|平台转账|41134|0|2021-07-01 02:00:52|ba5674d8-b5c5-4f1f-b838-870d9182d43b|0||0|0|0|0||||||||||||
1410297301359931392|平台转账|4103112|0|2021-07-01 02:00:53|8c27562a-b1de-4ff4-aae9-6215bcfccc66|0||0|0|0|0||||||||||||
1410297302857297920|平台转账|23186|0|2021-07-01 02:00:53|b9e4c3c8-20a4-458e-9399-f5906cd4bbd5|0||0|0|0|0||||||||||||
1410297304379822080|平台转账|94521|0|2021-07-01 02:00:54|d40bb8c1-b12d-4d67-a59d-55b37adc380f|0||0|0|0|0||||||||||||
1410297305944301568|平台转账|29552|0|2021-07-01 02:00:54|088de13b-4ddf-4ca7-8c8e-25c1053cc759|0||0|0|0|0||||||||||||
1410297307580084224|平台转账|2139166|0|2021-07-01 02:00:54|f935dbd3-98e4-46e1-a901-dfc6a04930dd|0||0|0|0|0||||||||||||
1410297309006143488|平台转账|442134|0|2021-07-01 02:00:55|4c078187-39f6-4cba-a9b2-f3dc03470324|0||0|0|0|0||||||||||||
1410297310432202752|平台转账|9611|0|2021-07-01 02:00:55|480e4451-4f0f-4508-8b9f-87b1644606be|0||0|0|0|0||||||||||||
1410297311799549952|平台转账|338141|0|2021-07-01 02:00:55|569a37a5-d578-4d90-a095-0ca865ff3d02|0||0|0|0|0||||||||||||
1410297313305313280|平台转账|6335903|0|2021-07-01 02:00:56|9fbdae4a-1356-4821-9e98-675241d92bca|0||0|0|0|0||||||||||||
1410297315016589312|平台转账|13645|0|2021-07-01 02:00:56|685083e7-a8e5-4e8b-81b3-67767a5311fc|0||0|0|0|0||||||||||||
1410297316589445120|平台转账|11606087|0|2021-07-01 02:00:57|993d549d-b1ba-4d90-9c63-06915e7b40f4|0||0|0|0|0||||||||||||
1410297318212636672|平台转账|335114|0|2021-07-01 02:00:57|f5a39be0-7d92-4079-a816-9369464326bb|0||0|0|0|0||||||||||||
1410312677690970112|消费|30800|0|2021-07-01 03:02:08|21070179719252024|30800|122104500001033898|123|0|0|0|||||||微信支付|o2mUlw****qygE|-|||
1410347702478180352|消费|122000|0|2021-07-01 05:21:22|21070188069255032|122000|122104500001033899|488|0|0|0|||||||微信支付|o2mUlw****beQ0|-|||
1410370106566909952|消费|3990|0|2021-07-01 06:50:20|21070193411258883|3990|122104500001033900|16|0|0|0|||||||微信支付|o2mUlw****Eo0A|-|||
1410371975620083712|消费|13500|0|2021-07-01 06:57:49|21070193856258479|13500|122104500001033901|54|0|0|0|||||||微信支付|o2mUlw****eNzQ|-|||
1410372003809996800|消费|129000|0|2021-07-01 06:57:50|21070193863258664|129000|122104500001033902|516|0|0|0|||||||微信支付|o2mUlw****S3k4|-|||
1410372032570335232|消费|87500|0|2021-07-01 06:57:57|21070193870250306|87500|122104500001033903|350|0|0|0|||||||微信支付|o2mUlw****QkJs|-|||
1410372292491358208|消费|80200|0|2021-07-01 06:58:59|21070193932255457|80200|122104500001033904|321|0|0|0|||||||微信支付|o2mUlw****8pWQ|-|||
1410372293057581056|消费|86400|0|2021-07-01 06:59:05|21070193932254218|86400|122104500001033905|346|0|0|0|||||||微信支付|o2mUlw****ns6k|信用卡|||
1410372354801930240|消费|129000|0|2021-07-01 06:59:19|21070193947254477|129000|122104500001033906|516|0|0|0|||||||微信支付|o2mUlw****_5RQ|-|||
1410372479175626752|消费|198000|0|2021-07-01 06:59:44|21070193976255601|198000|122104500001033907|792|0|0|0|||||||微信支付|o2mUlw****RYhs|-|||
1410372487195144192|消费|107000|0|2021-07-01 06:59:51|21070193978251586|107000|122104500001033908|428|0|0|0|||||||微信支付|o2mUlw****eNzQ|-|||
1410372630850060288|消费|45600|0|2021-07-01 07:00:20|21070194012259117|45600|122104500001033909|182|0|0|0|||||||微信支付|o2mUlw****mYGw|-|||
1410373250835292160|消费|53940|0|2021-07-01 07:02:48|21070194160250041|53940|122104500001033912|216|0|0|0|||||||微信支付|o2mUlw****43XQ|-|||
1410373556126093312|消费|176520|0|2021-07-01 07:03:57|21070194233256552|176520|122104500001033913|706|0|0|0|||||||微信支付|o2mUlw****3dp4|-|||
1410373937820352512|消费|11600|0|2021-07-01 07:05:32|21070194324254122|11600|122104500001033914|46|0|0|0|||||||微信支付|o2mUlw****C-XE|-|||
1410374332474990592|消费|61900|0|2021-07-01 07:07:05|21070194418253182|61900|122104500001033916|248|0|0|0|||||||微信支付|o2mUlw****lOq8|-|||
1410374384488562688|消费|15400|0|2021-07-01 07:07:20|21070194431259433|15400|122104500001033917|62|0|0|0|||||||微信支付|o2mUlw****xrAM|-|||
1410374715477868544|消费|45600|0|2021-07-01 07:08:56|21070194509251541|45600|122104500001033918|182|0|0|0|||||||微信支付|o2mUlw****lA4w|信用卡|||
1410375056311201792|消费|53940|0|2021-07-01 07:10:01|21070194591258602|53940|122104500001033921|216|0|0|0|||||||微信支付|o2mUlw****LBjc|-|||
1410375161999278080|消费|147100|0|2021-07-01 07:10:28|21070194616253122|147100|122104500001033922|588|0|0|0|||||||微信支付|o2mUlw****WyW8|-|||
1410377805715222528|消费|368000|0|2021-07-01 07:21:00|21070195246252892|368000|122104500001033924|1472|0|0|0|||||||微信支付|o2mUlw****Bv3U|信用卡|||
