云商通订单号|订单类型|交易金额(单位:分)|手续费金额(单位:分)|交易时间|商户订单编号|渠道金额|渠道流水号|渠道手续费(单位:分)|云商通手续费(单位:分)|分期金额(单位:分)|持卡人手续费(单位:分)|扩展参数|预付卡是否结算|预付卡交易金额(单位:分)|支付方式|原商户订单号|原云商通订单号|渠道交易类型|卡号|卡类别|渠道交易商户号|渠道配置商户号|
1420783002492870656|消费|70000|0|2021-07-30 00:27:29|21073076039270017|70000|210730121900571237|280|0|0|0|||||||微信支付|o2mUlw****avdM|-|||
1420792133362655232|退款|100|0|2021-07-30 01:03:37|21073078216273147|100|210730121700571203|0|0|0|0|||||21072940694278434|1420634756856430592|微信退货|000000|信用卡|||
1420856144540217344|消费|12180|0|2021-07-30 05:18:08|21073093477270772|12180|210730127500571902|49|0|0|0|||||||微信支付|o2mUlw****XmgQ|-|||
1420864020176445440|消费|258000|0|2021-07-30 05:49:25|21073095355276723|258000|210730123800572443|1032|0|0|0|||||||微信支付|o2mUlw****5P0I|-|||
1420864620234555392|消费|61800|0|2021-07-30 05:51:46|21073095498271609|61800|210730120200573120|247|0|0|0|||||||微信支付|o2mUlw****7L5w|-|||
1420864647900180480|消费|161820|0|2021-07-30 05:51:53|21073095504271936|161820|210730120500571907|647|0|0|0|||||||微信支付|o2mUlw****fM6I|-|||
1420865898939420672|消费|107880|0|2021-07-30 05:56:51|21073095803273710|107880|210730127500572131|432|0|0|0|||||||微信支付|o2mUlw****QZKI|-|||
1420868331321171968|消费|55860|0|2021-07-30 06:06:44|21073096383275864|55860|210730121100571245|223|0|0|0|||||||微信支付|o2mUlw****QW4M|-|||
1420870961783128064|消费|117680|0|2021-07-30 06:16:55|21073097010275065|117680|210730129800572718|471|0|0|0|||||||微信支付|o2mUlw****ac5M|-|||
1420878930260275200|消费|129000|0|2021-07-30 06:48:35|21073098910273266|129000|210730128400573981|516|0|0|0|||||||微信支付|o2mUlw****eZKU|信用卡|||
1420879444565831680|消费|12180|0|2021-07-30 06:50:38|21073099032279699|12180|210730129700573427|49|0|0|0|||||||微信支付|o2mUlw****hsG8|-|||
1420879736866873344|消费|161820|0|2021-07-30 06:51:48|21073099102279700|161820|210730127500573308|647|0|0|0|||||||微信支付|o2mUlw****xOcI|-|||
1420880382672244736|消费|429632|0|2021-07-30 06:54:32|21073099256271105|429632|210730129800573713|1719|0|0|0|||||||微信支付|o2mUlw****sbwk|-|||
1420880652521185280|消费|161820|0|2021-07-30 06:55:30|21073099320278533|161820|210730124800573849|647|0|0|0|||||||微信支付|o2mUlw****vcAg|-|||
1420881418027798528|消费|26370|0|2021-07-30 06:58:29|21073099503278724|26370|210730129100573997|105|0|0|0|||||||微信支付|o2mUlw****c28Y|-|||
1420884305319571456|消费|52500|0|2021-07-30 07:09:57|21073000191271921|52500|210730126200574969|210|0|0|0|||||||微信支付|o2mUlw****uO5o|-|||
1420884911849488384|消费|102400|0|2021-07-30 07:12:24|21073000336271581|102400|210730127800574932|410|0|0|0|||||||微信支付|o2mUlw****9O7U|信用卡|||
1420886503881445376|消费|28300|0|2021-07-30 07:18:46|21073000715279327|28300|210730128400575924|113|0|0|0|||||||微信支付|o2mUlw****FysE|-|||
1420887177348255744|消费|161820|0|2021-07-30 07:21:22|21073000876277493|161820|210730124000575923|647|0|0|0|||||||微信支付|o2mUlw****Tts4|-|||
1420887407410036736|消费|53940|0|2021-07-30 07:22:17|21073000931272830|53940|210730123000575822|216|0|0|0|||||||微信支付|o2mUlw****Tts4|-|||
1420887411889545216|消费|21540|0|2021-07-30 07:22:22|21073000932276650|21540|210730126000576196|86|0|0|0|||||||微信支付|o2mUlw****S7ug|-|||
1420888073012514816|消费|19040|0|2021-07-30 07:24:57|21073001089271053|19040|210730125900575496|76|0|0|0|||||||微信支付|o2mUlw****kxfg|-|||
1420888529847730176|消费|53940|0|2021-07-30 07:26:53|21073001198275259|53940|210730127100576274|216|0|0|0|||||||微信支付|o2mUlw****19kU|-|||
1420888868344832000|消费|59472|0|2021-07-30 07:28:07|21073001279273498|59472|210730123100576102|238|0|0|0|||||||微信支付|o2mUlw****AX7U|-|||
1420891767774920704|消费|76800|0|2021-07-30 07:39:38|21073001970271212|76800|210730124300576591|307|0|0|0|||||||微信支付|o2mUlw****9sKQ|-|||
1420891832786624512|消费|14000|0|2021-07-30 07:39:53|21073001986277658|14000|210730127000575601|56|0|0|0|||||||微信支付|o2mUlw****s36M|-|||
1420892883820494848|消费|82000|0|2021-07-30 07:44:09|21073002236279047|82000|210730129300578159|328|0|0|0|||||||微信支付|o2mUlw****WKkQ|-|||
1420893486915272704|消费|21540|0|2021-07-30 07:46:30|21073002380271050|21540|210730126600575992|86|0|0|0|||||||微信支付|o2mUlw****ThFQ|-|||
1420893742776193024|消费|61800|0|2021-07-30 07:47:35|21073002441270288|61800|210730129600578045|247|0|0|0|||||||微信支付|o2mUlw****tgsg|信用卡|||
1420894338157649920|消费|19040|0|2021-07-30 07:49:52|21073002583276186|19040|210730127300577832|76|0|0|0|||||||微信支付|o2mUlw****koNw|-|||
1420894421360062464|消费|36500|0|2021-07-30 07:50:12|21073002603277392|36500|210730124300577312|146|0|0|0|||||||微信支付|o2mUlw****oor8|-|||
1420894484593385472|消费|15600|0|2021-07-30 07:50:26|21073002618272884|15600|210730125100576827|62|0|0|0|||||||微信支付|o2mUlw****cfnk|-|||
1420894719143059456|消费|36500|0|2021-07-30 07:51:22|21073002674277338|36500|210730120900576283|146|0|0|0|||||||微信支付|o2mUlw****oor8|-|||
